iter	Passed	Remaining
657	846	440
658	847	438
659	848	437
660	849	435
661	851	434
662	852	433
663	854	432
664	855	430
665	856	429
666	857	428
667	858	426
668	859	425
669	861	424
670	862	422
671	863	421
672	864	419
673	865	418
674	866	417
675	868	416
676	870	415
677	872	414
678	873	412
679	874	411
680	875	410
681	876	408
682	877	407
683	879	406
684	880	404
685	881	403
686	882	402
687	883	400
688	884	399
689	885	398
690	887	396
691	888	395
692	889	393
693	890	392
694	891	391
695	892	389
696	893	388
697	894	386
698	895	385
699	896	384
700	897	382
701	899	381
702	900	380
703	901	379
704	902	377
705	903	376
706	904	374
707	905	373
708	906	372
709	907	370
710	908	369
711	909	367
712	910	366
713	911	365
714	913	363
715	914	362
716	915	361
717	916	360
718	917	358
719	918	357
720	919	355
721	921	354
722	922	353
723	923	351
724	924	350
725	925	349
726	926	347
727	927	346
728	928	345
729	929	343
730	931	342
731	932	341
732	933	339
733	934	338
734	935	337
735	936	335
736	937	334
737	938	333
738	939	331
739	940	330
740	942	329
741	943	328
742	945	326
743	946	325
744	947	324
745	948	322
746	949	321
747	950	320
748	951	318
749	952	317
750	953	316
751	954	314
752	955	313
753	957	312
754	958	310
755	959	309
756	960	308
757	961	307
758	962	305
759	963	304
760	964	303
761	965	301
762	967	300
763	968	299
764	969	297
765	970	296
766	971	294
767	972	293
768	973	292
769	974	291
770	975	289
771	977	288
772	978	287
773	979	285
774	980	284
775	981	283
776	982	281
777	983	280
778	984	279
779	985	277
780	986	276
781	987	275
782	988	274
783	989	272
784	991	271
785	992	270
786	993	268
787	994	267
788	995	266
789	996	264
790	997	263
791	998	262
792	999	261
793	1000	259
794	1002	258
795	1003	257
796	1004	255
797	1005	254
798	1006	253
799	1008	252
800	1009	250
801	1010	249
802	1011	248
803	1012	246
804	1013	245
805	1014	244
806	1015	242
807	1017	241
808	1019	240
809	1020	239
810	1021	238
811	1023	236
812	1024	235
813	1025	234
814	1026	233
815	1027	231
816	1028	230
817	1029	229
818	1030	227
819	1032	226
820	1033	225
821	1034	224
822	1035	222
823	1037	221
824	1038	220
825	1039	219
826	1040	217
827	1042	216
828	1043	215
829	1044	213
830	1045	212
831	1046	211
832	1047	210
833	1049	208
834	1050	207
835	1051	206
836	1053	205
837	1054	203
838	1055	202
839	1056	201
840	1058	200
841	1059	198
842	1060	197
843	1061	196
844	1062	194
845	1063	193
846	1064	192
847	1065	191
848	1067	189
849	1068	188
850	1069	187
851	1070	185
852	1071	184
853	1072	183
854	1073	182
855	1074	180
856	1075	179
857	1076	178
858	1077	176
859	1079	175
860	1080	174
861	1081	173
862	1083	171
863	1084	170
864	1085	169
865	1086	168
866	1088	166
867	1089	165
868	1090	164
869	1091	163
870	1093	161
871	1095	160
872	1096	159
873	1097	158
874	1099	157
875	1100	155
876	1101	154
877	1102	153
878	1103	151
879	1104	150
880	1105	149
881	1106	148
882	1107	146
883	1109	145
884	1110	144
885	1111	143
886	1112	141
887	1113	140
888	1114	139
889	1115	137
890	1116	136
891	1117	135
892	1118	134
893	1119	132
894	1120	131
895	1122	130
896	1123	128
897	1124	127
898	1125	126
899	1126	125
900	1127	123
901	1129	122
902	1130	121
903	1131	120
904	1132	118
905	1133	117
906	1134	116
907	1135	115
908	1136	113
909	1137	112
910	1138	111
911	1139	109
912	1141	108
913	1142	107
914	1143	106
915	1144	104
916	1145	103
917	1146	102
918	1147	101
919	1148	99
920	1149	98
921	1150	97
922	1151	96
923	1152	94
924	1154	93
925	1155	92
926	1156	91
927	1157	89
928	1158	88
929	1159	87
930	1160	86
931	1162	84
932	1163	83
933	1164	82
934	1165	80
935	1166	79
936	1167	78
937	1168	77
938	1169	75
939	1170	74
940	1172	73
941	1173	72
942	1174	70
943	1175	69
944	1176	68
945	1177	67
946	1178	65
947	1179	64
948	1180	63
949	1181	62
950	1182	60
951	1183	59
952	1184	58
953	1186	57
954	1187	55
955	1188	54
956	1189	53
957	1190	52
958	1191	50
959	1192	49
960	1193	48
961	1194	47
962	1195	45
963	1196	44
964	1197	43
965	1198	42
966	1199	40
967	1201	39
968	1202	38
969	1203	37
970	1204	35
971	1205	34
972	1206	33
973	1207	32
974	1208	30
975	1210	29
976	1211	28
977	1212	27
978	1213	26
979	1215	24
980	1216	23
981	1217	22
982	1218	21
983	1219	19
984	1220	18
985	1221	17
986	1222	16
987	1223	14
988	1224	13
989	1225	12
990	1226	11
991	1227	9
992	1229	8
993	1230	7
994	1231	6
995	1232	4
996	1233	3
997	1234	2
998	1236	1
999	1237	0
